,Price,Year,Mileage,City,State,Vin,Make,Model,General Model,New Car Price
1366,37500,2015,14762,New Port Richey, FL,JTHHE5BC7F5002590,Lexus,RC,RC,41145
1367,37983,2015,22805,NEW HAMPTON, NY,JTHSE5BCXF5001553,Lexus,RC,RC,41145
1368,49900,2015,16543,Plano, TX,JTHHP5BC5F5002002,Lexus,RC,RC,41145
1369,54992,2015,10144,Union City, GA,JTHHP5BC7F5002454,Lexus,RC,RC,41145
1370,33509,2016,20093,Morton Grove, IL,JTHHA5BC7G5002649,Lexus,RC,RC,41145
1371,35123,2015,24589,Omaha, NE,JTHSE5BC6F5003056,Lexus,RC,RC,41145
1372,33889,2016,18898,Pembroke Pines, FL,JTHHA5BC2G5000243,Lexus,RC,RC,41145
1373,37356,2015,24090,Valencia, CA,JTHHE5BC8F5006633,Lexus,RC,RC,41145
1374,34990,2015,51634,Houston, TX,JTHHE5BC5F5007447,Lexus,RC,RC,41145
1375,37980,2016,958,Philadelphia, PA,JTHHA5BC6G5004358,Lexus,RC,RC,41145
1376,49995,2015,10176,Bellerose, NY,JTHHP5BC8F5001376,Lexus,RC,RC,41145
1377,38888,2015,19346,Orlando, FL,JTHHE5BCXF5004706,Lexus,RC,RC,41145
1378,45316,2016,3843,Santa Fe, NM,JTHSE5BC7G5006100,Lexus,RC,RC,41145
1379,42925,2015,67501,Pelham, AL,JTHHP5BC0F5001050,Lexus,RC,RC,41145
1380,37989,2017,17349,Dallas, TX,1LN6L9SK5H5620390,Lincoln,ContinentalSelect,Continental,46145
1381,75975,2017,100,Annapolis, MD,1LN6L9NC1H5631116,Lincoln,ContinentalReserve,Continental,46145
1382,42998,2017,13397,Bellflower, CA,1LN6L9SK5H5609552,Lincoln,ContinentalSelect,Continental,46145
1383,43847,2017,13225,Knoxville, TN,1LN6L9SK5H5609499,Lincoln,ContinentalSelect,Continental,46145
1384,39988,2017,16689,Rainbow City, AL,1LN6L9SP7H5606048,Lincoln,ContinentalSelect,Continental,46145
1385,43950,2017,5457,Concord, CA,1LN6L9PK2H5600414,Lincoln,ContinentalPremiere,Continental,46145
1386,42777,2017,14178,Hanford, CA,1LN6L9SK9H5609554,Lincoln,ContinentalSelect,Continental,46145
1387,54891,2017,10380,Fayetteville, NC,1LN6L9NP5H5600633,Lincoln,ContinentalReserve,Continental,46145
1388,44800,2017,3599,Gainesville, GA,1LN6L9SK8H5611070,Lincoln,ContinentalSelect,Continental,46145
1389,5000,2001,109778,St. Peters, MO,1LNHM97V21Y662948,Lincoln,Continental4dr,Continental,46145
1390,42900,2017,15436,Lawton, OK,1LN6L9SK5H5609535,Lincoln,ContinentalSelect,Continental,46145
1391,46850,2017,12227,Marietta, GA,1LN6L9SK6H5609527,Lincoln,ContinentalSelect,Continental,46145
1392,2495,1998,148258,Fresno, CA,1LNFM97V0WY676507,Lincoln,Continental4dr,Continental,46145
1393,49959,2017,3385,Dallas, TX,1LN6L9RP7H5629920,Lincoln,ContinentalReserve,Continental,46145
1394,80459,2017,5833,Oxnard, CA,1LN6L9BC8H5602605,Lincoln,ContinentalBlack,Continental,46145
1395,47761,2017,10,Gainesville, GA,1LN6L9SK1H5614389,Lincoln,ContinentalSelect,Continental,46145
1396,37979,2017,15573,Dallas, TX,1LN6L9SK0H5620376,Lincoln,ContinentalSelect,Continental,46145
1397,3990,2000,102083,Eugene, OR,1LNHM97V0YY833416,Lincoln,Continental4dr,Continental,46145
1398,2595,1998,124863,Macomb, MI,1LNFM97V3WY738871,Lincoln,Continental4dr,Continental,46145
1399,1995,1998,174413,Wayne, MI,1LNFM97V9WY740642,Lincoln,Continental4dr,Continental,46145
1400,35997,2017,1775,Deerfield Beach, FL,3LN6L5MU1HR653942,Lincoln,MKZHybrid,MKZ,35995
1401,9998,2009,68715,White Bear Lake, MN,3LNHM28T49R632607,Lincoln,MKZ4dr,MKZ,35995
1402,25705,2017,20878,Overland Park, KS,3LN6L5E92HR634326,Lincoln,MKZReserve,MKZ,35995
1403,21304,2014,39203,Sandusky, OH,3LN6L2JK2ER833671,Lincoln,MKZAWD,MKZ,35995
1404,9989,2012,80428,Wichita Falls, TX,3LNHL2GC2CR828881,Lincoln,MKZ4dr,MKZ,35995
1405,17988,2015,32460,North Miami Beach, FL,3LN6L2G97FR619278,Lincoln,MKZFWD,MKZ,35995
1406,20545,2014,32630,Clearwater, FL,3LN6L2G95ER821826,Lincoln,MKZFWD,MKZ,35995
1407,30900,2017,45,Rosenberg, TX,3LN6L5LU9HR645735,Lincoln,MKZHybrid,MKZ,35995
1408,25480,2017,27927,Philadelphia, PA,3LN6L5A93HR625267,Lincoln,MKZPremiere,MKZ,35995
1409,10588,2008,61798,Medway, MA,3LNHM28T28R667953,Lincoln,MKZ4dr,MKZ,35995
1410,25612,2016,19358,Tampa, FL,3LN6L2LU1GR610703,Lincoln,MKZHybrid,MKZ,35995
1411,8768,2009,86054,Yorkville, NY,3LNHM28T79R623657,Lincoln,MKZ4dr,MKZ,35995
1412,34987,2017,4687,Medford, MA,3LN6L5F99HR607462,Lincoln,MKZReserve,MKZ,35995
1413,8900,2012,89546,Austin, TX,3LNDL2L36CR805317,Lincoln,MKZ4dr,MKZ,35995
1414,22480,2015,25416,Philadelphia, PA,3LN6L2GK6FR613149,Lincoln,MKZFWD,MKZ,35995
1415,19922,2015,47780,Gainesville, GA,3LN6L2GK4FR624974,Lincoln,MKZFWD,MKZ,35995
1416,29960,2017,29625,Evans, GA,3LN6L5E92HR603769,Lincoln,MKZReserve,MKZ,35995
1417,8990,2009,75272,Lake Hopatcong, NJ,3LNHM28T99R622039,Lincoln,MKZ4dr,MKZ,35995
1418,19997,2014,49796,Sacramento, CA,3LN6L2G91ER802576,Lincoln,MKZFWD,MKZ,35995
1419,5999,2008,108615,Fremont, CA,3LNHM28T48R661524,Lincoln,MKZ4dr,MKZ,35995
1420,1900,2002,158204,Murfreesboro, TN,1YVGF22C325282599,Mazda,6264dr,6,23800
1421,2552,2001,137900,Chantilly, VA,1YVGF22D915244818,Mazda,6264dr,6,23800
1422,2950,2002,170750,Beaumont, TX,1YVGF22C025295925,Mazda,6264dr,6,23800
1423,3577,2002,98203,Reading, PA,1YVGF22D925288870,Mazda,6264dr,6,23800
1424,4019,1999,190000,Asheville, NC,1YVGF22C9X5826725,Mazda,6264dr,6,23800
1425,3990,2001,71525,Edgewater Park, NJ,1YVGF22C915215410,Mazda,6264dr,6,23800
1426,2823,2000,193218,Georgetown, TX,1YVGF22CXY5104777,Mazda,6264dr,6,23800
1427,5060,2002,71011,Northbrook, IL,1YVGF22D625275624,Mazda,6264dr,6,23800
1428,2851,1998,49557,Pinellas Park, FL,1YVGF22C6W5702135,Mazda,6264dr,6,23800
1429,2490,1998,161310,Miamisburg, OH,1YVGF22D7W5749764,Mazda,6264dr,6,23800
1430,2995,2001,149401,Memphis, TN,1YVGF22C615241690,Mazda,6264dr,6,23800
1431,2995,2002,157891,Memphis, TN,1YVGF22C825296076,Mazda,6264dr,6,23800
1432,3999,1999,149516,Colorado Springs, CO,1YVGF22C8X5854824,Mazda,6264dr,6,23800
1433,1950,2002,166356,Levittown, PA,1YVGF22C925279836,Mazda,6264dr,6,23800
1434,1599,2002,197974,Levittown, PA,1YVGF22C725265482,Mazda,6264dr,6,23800
1435,3996,2002,62983,TREVOSE, PA,1YVGF22F725283281,Mazda,6264dr,6,23800
1436,1950,2002,91451,Levittown, PA,1YVGF22C625302148,Mazda,6264dr,6,23800
1437,2600,1999,173605,Savannah, GA,1YVGF22C9X5811626,Mazda,6264dr,6,23800
1438,2995,2001,162884,Grand Rapids, MN,1YVGF22C515214450,Mazda,6264dr,6,23800
1439,2995,1999,191914,Crete, NE,1YVGF22D0X5894758,Mazda,6264dr,6,23800
1440,19499,2016,1653,Point Pleasant, NJ,JM1DKFC74G0131837,Mazda,CX-3AWD,3,21000
1441,23001,2016,10882,Bentonville, AR,JM1DKBD77G0120077,Mazda,CX-3AWD,3,21000
1442,28921,2016,66,Ogden, UT,JM1DKBD79G0122932,Mazda,CX-3AWD,3,21000
1443,21999,2016,13007,Miami Lakes, FL,JM1DKBD78G0120685,Mazda,CX-3FWD,3,21000
1444,17995,2016,16115,Little Rock, AR,JM1DKDB77G0131952,Mazda,CX-3FWD,3,21000
1445,20390,2016,10258,Cary, NC,JM1DKDC70G0140362,Mazda,CX-3FWD,3,21000
1446,22361,2016,3166,Seattle, WA,JM1DKFC79G0140713,Mazda,CX-3AWD,3,21000
1447,21990,2016,22427,Georgetown, TX,JM1DKDD71G0129949,Mazda,CX-3FWD,3,21000
1448,19990,2016,64,Bourbonnais, IL,JM1DKDC73G0136855,Mazda,CX-3FWD,3,21000
