,City,Make,Mileage,Model,Price,State,Vin,Year
5292,Castroville,GMC,21851.0,Sierra,43295.0, TX,3GTU2NEC9GG332374,2016.0
5293,Monroe,GMC,30156.0,AcadiaFWD,28648.0, NC,1GKKRRKD7FJ372798,2015.0
5294,Chesapeake,GMC,68414.0,TerrainAWD,14500.0, VA,2GKFLTEK6D6235484,2013.0
5295,Blair,GMC,90164.0,Sierra,20764.0, NE,3GTRKUEA5AG223898,2010.0
5296,Columbus,GMC,12318.0,Sierra,45000.0, GA,3GTU2NEC1HG281602,2017.0
5297,Dallas,GMC,73382.0,Sierra,29999.0, TX,3GTP1VEC3EG166706,2014.0
5298,Colorado Springs,GMC,112329.0,TerrainFWD,10889.0, CO,2CTALDEW9A6340342,2010.0
5299,Hanover,GMC,75160.0,TerrainAWD,16688.0, MA,2GKFLXE5XC6192560,2012.0
5300,Burlington,GMC,51563.0,Sierra,32997.0, NJ,3GTU2VEC0EG180675,2014.0
5301,Lakewood,GMC,131266.0,Yukon,20998.0, CO,1GKFK03209R295888,2009.0
5302,Durango,GMC,189057.0,Sierra,13000.0, CO,2GTEK290091126777,2009.0
5303,Harrisonville,GMC,29492.0,Yukon,44500.0, MO,1GKS2GKC5GR270967,2016.0
5304,Springfield,GMC,69682.0,AcadiaAWD,25995.0, OR,1GKKVSED4CJ217877,2012.0
5305,Pelham,GMC,72613.0,Yukon,28995.0, AL,1GKS1KE05ER142412,2014.0
5306,NORMAN,GMC,26417.0,TerrainFWD,28994.0, OK,2GKFLRE31G6107864,2016.0
5307,Kernersville,GMC,10661.0,Sierra,58980.0, NC,1GT424E84FF670061,2015.0
5308,Hayden,GMC,177929.0,Yukon,8990.0, ID,3GKFK16Z15G269146,2005.0
5309,Canyon,GMC,38051.0,Sierra,36991.0, TX,3GTP1NEC0GG254454,2016.0
5310,Concord,GMC,65970.0,Yukon4WD,47986.0, NH,1GKS2CKJ6FR513904,2015.0
5311,Delaware,GMC,4615.0,AcadiaFWD,35000.0, OH,1GKKNLLS7HZ270282,2017.0
5312,San Antonio,GMC,33691.0,Sierra,28495.0, TX,1GTR1UEC2FZ193299,2015.0
5313,Williamstown,GMC,13387.0,Acadia,35400.0, NJ,1GKKVSKD2HJ222393,2017.0
5314,Mount Airy,GMC,86804.0,AcadiaFWD,16906.0, NC,1GKKRRED2CJ410221,2012.0
5315,Washington,GMC,179191.0,Yukon,7950.0, MO,3GKFK16Z24G228717,2004.0
5316,Lynnwood,GMC,183837.0,Yukon,11995.0, WA,1GKFK63867J312342,2007.0
5317,Sioux Falls,GMC,101052.0,Sierra,24995.0, SD,3GTP2WE35BG309668,2011.0
