Price,Year,Mileage,City,State,Vin,Make,Model
20000,2016,38054,Puyallup, WA,2C4RC1BG0GR300281,Chrysler,Town
21495,2016,38034,Tuscaloosa, AL,2C4RC1BG1GR289243,Chrysler,Town
12995,2015,38010,San Marcos, TX,1C3CCCABXFN543197,Chrysler,200Limited
12998,2016,37976,Greensboro, NC,1C3CCCAB6GN152808,Chrysler,200Limited
12445,2016,37976,Virginia Beach, VA,1C3CCCAB3GN176595,Chrysler,200Limited
22995,2016,37746,Lincoln, NE,2C4RC1CG9GR215180,Chrysler,Town
11900,2016,37691,Hollywood, FL,1C3CCCAB0GN152450,Chrysler,200Limited
20990,2016,37673,New Bern, NC,2C4RC1BG2GR301688,Chrysler,Town
15988,2013,37665,Vero Beach, FL,1C3BCBGG2DN510328,Chrysler,200Convertible
16488,2013,37586,Garland, TX,2C4RC1BG4DR806028,Chrysler,Town
20950,2014,37522,Ypsilanti, MI,2C3CCAGG9EH361487,Chrysler,300300S
14195,2013,37521,Round Rock, TX,1C3CCBBB9DN521956,Chrysler,200Sedan
16750,2013,37413,Pensacola, Fl,2C3CCAAG6DH520585,Chrysler,300300
16995,2015,37353,Lithia Springs, GA,1C3CCCAB1FN583684,Chrysler,200Limited
14595,2016,37284,Lombard, IL,1C3CCCAB4GN149017,Chrysler,200Limited
18500,2016,37189,Thousand Oaks, CA,2C4RC1BG1GR299108,Chrysler,Town
12998,2015,37115,Springfield, MO,1C3CCCAB3FN562187,Chrysler,200Limited
19991,2014,37074,Long Beach, CA,2C3CCAEG3EH382225,Chrysler,300300C
12445,2016,37066,Woburn, MA,1C3CCCAB7GN171156,Chrysler,200Limited
12490,2015,36968,Vista, CA,1C3CCCAB2FN750540,Chrysler,200Limited
15488,2014,36818,Clarksville, MD,2C3CCAAG3EH119402,Chrysler,300300
11488,2016,36608,Lauderdale Lakes, FL,1C3CCCAB7GN152879,Chrysler,200Limited
24591,2017,36505,Cleveland, TN,2C4RC1BG8HR583465,Chrysler,PacificaTouring-L
